Time,Production
2004-05-22,10.7415
2004-05-23,23.6240
2004-05-24,24.2405
2004-05-25,25.1527
2004-05-26,24.2440
2004-05-27,25.1299
2004-05-28,24.9609
2004-05-29,23.1459
2004-05-30,18.7684
2004-05-31,20.0319
2004-06-01,19.5746
2004-06-02,20.3271
2004-06-03,21.4355
2004-06-04,20.8874
2004-06-05,20.4499
2004-06-06,20.8195
2004-06-07,21.9043
2004-06-08,21.3658
2004-06-09,21.2316
2004-06-10,21.2729
2004-06-11,21.0666
2004-06-12,20.4413
2004-06-13,20.3913
2004-06-14,20.2106
2004-06-15,20.1679
2004-06-16,20.4759
2004-06-17,20.9915
2004-06-18,20.6270
2004-06-19,20.7484
2004-06-20,20.7980
2004-06-21,20.7345
2004-06-22,20.8239
2004-06-23,20.6892
2004-06-24,20.7763
2004-06-25,20.2896
2004-06-26,20.4204
2004-06-27,20.4125
2004-06-28,20.5332
2004-06-29,20.2549
2004-06-30,20.3518
2004-07-01,20.9866
2004-07-02,20.7271
2004-07-03,20.7563
2004-07-04,20.8081
2004-07-05,20.5528
2004-07-06,20.7554
2004-07-07,20.6850
2004-07-08,20.7498
2004-07-09,20.6237
2004-07-10,20.6618
2004-07-11,20.5206
2004-07-12,20.7975
2004-07-13,20.5138
2004-07-14,20.6260
2004-07-15,20.8118
2004-07-16,20.8253
2004-07-17,20.8102
2004-07-18,20.5730
2004-07-19,20.6400
2004-07-20,20.7892
2004-07-21,20.8912
2004-07-22,20.6192
2004-07-23,20.5682
2004-07-24,20.7360
2004-07-25,20.7436
2004-07-26,20.6555
2004-07-27,20.6485
2004-07-28,20.8541
2004-07-29,21.0242
2004-07-30,20.3053
2004-07-31,20.5599
2004-08-01,20.6448
2004-08-02,20.7294
2004-08-03,20.6333
2004-08-04,20.7837
2004-08-05,20.6213
2004-08-06,20.7847
2004-08-07,20.6084
2004-08-08,20.7486
2004-08-09,20.6169
2004-08-10,20.5324
2004-08-11,21.2079
2004-08-12,20.5697
2004-08-13,20.9001
2004-08-14,20.9446
2004-08-15,20.6748
2004-08-16,20.6915
2004-08-17,20.5773
2004-08-18,20.6690
2004-08-19,20.9079
2004-08-20,20.5673
2004-08-21,20.3847
2004-08-22,20.3437
2004-08-23,20.7027
2004-08-24,20.5891
2004-08-25,20.8694
2004-08-26,20.8041
2004-08-27,20.6924
2004-08-28,20.6314
2004-08-29,20.5788
2004-08-30,20.7476
2004-08-31,20.7838
2004-09-01,20.9145
2004-09-02,20.7248
2004-09-03,20.6590
2004-09-04,20.6837
2004-09-05,20.5853
2004-09-06,20.6833
2004-09-07,20.8227
2004-09-08,20.7373
2004-09-09,19.2298
2004-09-10,10.1009
2004-09-11,20.9168
2004-09-12,21.6849
2004-09-13,22.0122
2004-09-14,21.7090
2004-09-15,21.7976
2004-09-16,21.7442
2004-09-17,22.0234
2004-09-18,21.9098
2004-09-19,21.7706
2004-09-20,21.5159
2004-09-21,21.3765
2004-09-22,21.8734
2004-09-23,21.4443
2004-09-24,21.0636
2004-09-25,21.6193
2004-09-26,21.5974
2004-09-27,21.7767
2004-09-28,21.5746
2004-09-29,21.8488
2004-09-30,22.9508
2004-10-01,23.0995
2004-10-02,22.5522
2004-10-03,22.5801
2004-10-04,22.0521
2004-10-05,21.8822
2004-10-06,22.4587
2004-10-07,23.1450
2004-10-08,22.7687
2004-10-09,22.9944
2004-10-10,23.2116
2004-10-11,22.7482
2004-10-12,23.4049
2004-10-13,24.2853
2004-10-14,24.0163
2004-10-15,23.8977
2004-10-16,25.1820
2004-10-17,25.1332
2004-10-18,24.5457
2004-10-19,24.4861
2004-10-20,24.9964
2004-10-21,24.8118
2004-10-22,24.8095
2004-10-23,24.6709
2004-10-24,24.5873
2004-10-25,24.2876
2004-10-26,24.5090
2004-10-27,24.9108
2004-10-28,24.3843
2004-10-29,24.4222
2004-10-30,24.2301
2004-10-31,24.0789
2004-11-01,24.1553
2004-11-02,24.1175
2004-11-03,23.9711
2004-11-04,24.5206
2004-11-05,24.1821
2004-11-06,24.4842
2004-11-07,23.9014
2004-11-08,24.3912
2004-11-09,24.2819
2004-11-10,24.4849
2004-11-11,23.9347
2004-11-12,24.0894
2004-11-13,24.0980
2004-11-14,24.1209
2004-11-15,24.0967
2004-11-16,23.9838
2004-11-17,23.9468
2004-11-18,24.0478
2004-11-19,24.0538
2004-11-20,24.6128
2004-11-21,24.1236
2004-11-22,23.8578
2004-11-23,23.3802
2004-11-24,23.3686
2004-11-25,23.3808
2004-11-26,23.2336
2004-11-27,23.3296
2004-11-28,23.6633
2004-11-29,22.7287
2004-11-30,22.3683
2004-12-01,22.1142
2004-12-02,23.3685
2004-12-03,23.3873
2004-12-04,23.3895
2004-12-05,23.1874
2004-12-06,23.0851
2004-12-07,22.8349
2004-12-08,22.8165
2004-12-09,22.6994
2004-12-10,22.7412
2004-12-11,22.7734
2004-12-12,22.9052
2004-12-13,22.9615
2004-12-14,22.8018
2004-12-15,22.3961
2004-12-16,22.6370
2004-12-17,22.5801
2004-12-18,22.9049
2004-12-19,22.7790
2004-12-20,22.7625
2004-12-21,22.8864
2004-12-22,22.4502
2004-12-23,22.6972
2004-12-24,22.7450
2004-12-25,23.2587
2004-12-26,22.5809
2004-12-27,22.8889
2004-12-28,22.4956
2004-12-29,22.8917
2004-12-30,23.0790
2004-12-31,22.8304
2005-01-01,22.7289
2005-01-02,22.5761
2005-01-03,31.7436
2005-01-04,39.9542
2005-01-05,40.7257
2005-01-06,41.7647
2005-01-07,41.9299
2005-01-08,42.2454
2005-01-09,42.2922
2005-01-10,42.2554
2005-01-11,41.7948
